url,domain,date,state,title,direct_status,wayback_available,wayback_url,verdict
http://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/t1305274.shtml,www.fmprc.gov.cn,2015/10/12,China,"Foreign Ministry Spokesperson Hua Chunying's Regular Press Conference on October 12, 2015",HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,True,http://web.archive.org/web/20160227203017/http://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/t1305274.shtml,RECOVERABLE_WAYBACK
http://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/t1305571.shtml,www.fmprc.gov.cn,2015/10/13,China,"Foreign Ministry Spokesperson Hua Chunying's Regular Press Conference on October 13, 2015",HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/t1307341.shtml,www.fmprc.gov.cn,2015/10/19,China,"Foreign Ministry Spokesperson Hua Chunying's Regular Press Conference on October 19, 2015",HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,True,http://web.archive.org/web/20180819070146/http://www.fmprc.gov.cn:80/mfa_eng/xwfw_665399/s2510_665401/t1307341.shtml,RECOVERABLE_WAYBACK
http://www.fmprc.gov.cn/mfa_eng/wjbxw/t1308390.shtml,www.fmprc.gov.cn,2015/10/22,China,Statement by Ambassador Fu Cong of China at the Thematic Discussion on Chemical and Biological Weapons at the First Comm,HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/mfa_eng/topics_665678/xjpffgcxqhbhbldhdjbbwnfjxgsfwbfnfyhnsbzczfhzltfh/t1322223.shtml,www.fmprc.gov.cn,2015/12/6,China,Work Together to Meet Challenges and Join Hands to Promote Development,HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,False,,NOT_RECOVERABLE_YET
http://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/t1328340.shtml,www.fmprc.gov.cn,2015/12/28,China,"Foreign Ministry Spokesperson Lu Kang's Regular Press Conference on December 28, 2015",HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,True,http://web.archive.org/web/20160513060013/http://www.fmprc.gov.cn:80/mfa_eng/xwfw_665399/s2510_665401/t1328340.shtml,RECOVERABLE_WAYBACK
http://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/t1328578.shtml,www.fmprc.gov.cn,2015/12/29,China,"Foreign Ministry Spokesperson Lu Kang's Regular Press Conference on December 29, 2015",HTTP_200_REDIRECTED_TO_GENERIC_SOFT404_MARKER,True,http://web.archive.org/web/20160227152306/http://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/t1328578.shtml,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/kan/statement/201101/01nentou_e.html,japan.kantei.go.jp,2011/1/1,Japan,New Year's Reflection by Prime Minister Naoto Kan ,HTTP_404,True,http://web.archive.org/web/20240815004253/https://japan.kantei.go.jp/kan/statement/201101/01nentou_e.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/announce/fm_press/2011/4/0401_01.html,www.mofa.go.jp,2011/4/1,Japan,Press Conference by Minister for Foreign Affairs Takeaki Matsumoto,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20240706183744/https://www.mofa.go.jp/announce/fm_press/2011/4/0401_01.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/noda/statement/201109/02kaiken_e.html,japan.kantei.go.jp,2011/9/2,Japan,Press Conference by Prime Minister Yoshihiko Noda,HTTP_404,True,http://web.archive.org/web/20240816203221/https://japan.kantei.go.jp/noda/statement/201109/02kaiken_e.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/announce/fm/gemba/speech_111214.html,www.mofa.go.jp,2011/12/14,Japan,Speech by Foreign Minister Koichiro Gemba at the Japan National Press Club　Japan's Prosperity Depends on its Ties to the,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20220708222040/https://www.mofa.go.jp/announce/fm/gemba/speech_111214.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201112/14_p.html,japan.kantei.go.jp,2011/12/14,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240816002850/https://japan.kantei.go.jp/tyoukanpress/201112/14_p.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201112/19_a.html,japan.kantei.go.jp,2011/12/19,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,False,,NOT_RECOVERABLE_YET
http://japan.kantei.go.jp/tyoukanpress/201202/22_a.html,japan.kantei.go.jp,2012/2/22,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240815230456/https://japan.kantei.go.jp/tyoukanpress/201202/22_a.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/announce/fm_press/2012/3/0302_01.html,www.mofa.go.jp,2012/3/2,Japan,Press Conference by Minister for Foreign Affairs Koichiro Gemba,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20150907132454/http://www.mofa.go.jp/announce/fm_press/2012/3/0302_01.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201206/22_p.html,japan.kantei.go.jp,2012/6/22,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240815234246/https://japan.kantei.go.jp/tyoukanpress/201206/22_p.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/announce/fm_press/2012/8/0808_01.html,www.mofa.go.jp,2012/8/8,Japan,Press Conference by Minister for Foreign Affairs Koichiro Gemba,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20250713171212/https://www.mofa.go.jp/announce/fm_press/2012/8/0808_01.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201208/10_a.html,japan.kantei.go.jp,2012/8/10,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,False,,NOT_RECOVERABLE_YET
http://www.mofa.go.jp/announce/fm_press/2012/8/0815_01.html,www.mofa.go.jp,2012/8/15,Japan,Press Conference by Minister for Foreign Affairs Koichiro Gemba,SKIPPED_KNOWN_BLOCKED,True,http://web.archive.org/web/20250115103342/https://www.mofa.go.jp/announce/fm_press/2012/8/0815_01.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/noda/statement/201208/15sikiji_e.html,japan.kantei.go.jp,2012/8/15,Japan,Address by Prime Minister Yoshihiko Noda at the Sixty-Seventh Memorial Ceremony for the War Dead,HTTP_404,True,http://web.archive.org/web/20250508090640/https://japan.kantei.go.jp/noda/statement/201208/15sikiji_e.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201208/15_p.html,japan.kantei.go.jp,2012/8/15,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240816000444/https://japan.kantei.go.jp/tyoukanpress/201208/15_p.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201210/18_a.html,japan.kantei.go.jp,2012/10/18,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,False,,NOT_RECOVERABLE_YET
http://www.mofa.go.jp/mofaj/annai/honsho/gaisho/gemba/pdfs/ft_1210_en.pdf,www.mofa.go.jp,2012/10/19,Japan,Foreign Minister Koichiro Gemba interview – Financial Times ,SKIPPED_KNOWN_BLOCKED,False,,NOT_RECOVERABLE_YET
http://japan.kantei.go.jp/tyoukanpress/201302/05_p.html,japan.kantei.go.jp,2013/2/5,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,False,,NOT_RECOVERABLE_YET
http://japan.kantei.go.jp/tyoukanpress/201302/07_a.html,japan.kantei.go.jp,2013/2/7,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240815230416/https://japan.kantei.go.jp/tyoukanpress/201302/07_a.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201303/29_p.html,japan.kantei.go.jp,2013/3/29,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240815230026/https://japan.kantei.go.jp/tyoukanpress/201303/29_p.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201303/29_a.html,japan.kantei.go.jp,2013/3/29,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240815225959/https://japan.kantei.go.jp/tyoukanpress/201303/29_a.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201304/22_a.html,japan.kantei.go.jp,2013/4/22,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240815235353/https://japan.kantei.go.jp/tyoukanpress/201304/22_a.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201304/22_p.html,japan.kantei.go.jp,2013/4/22,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240815235420/https://japan.kantei.go.jp/tyoukanpress/201304/22_p.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201304/23_p.html,japan.kantei.go.jp,2013/4/23,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240815235345/https://japan.kantei.go.jp/tyoukanpress/201304/23_p.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201304/23_a.html,japan.kantei.go.jp,2013/4/23,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240815235325/https://japan.kantei.go.jp/tyoukanpress/201304/23_a.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201304/24_a.html,japan.kantei.go.jp,2013/4/24,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240815235414/https://japan.kantei.go.jp/tyoukanpress/201304/24_a.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201304/25_a.html,japan.kantei.go.jp,2013/4/25,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240815235330/https://japan.kantei.go.jp/tyoukanpress/201304/25_a.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201304/26_a.html,japan.kantei.go.jp,2013/4/26,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20251206161803/https://japan.kantei.go.jp/tyoukanpress/201304/26_a.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201304/30_a.html,japan.kantei.go.jp,2013/4/30,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20241217122643/https://japan.kantei.go.jp/tyoukanpress/201304/30_a.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201305/08_p.html,japan.kantei.go.jp,2013/5/8,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240816001701/https://japan.kantei.go.jp/tyoukanpress/201305/08_p.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201305/09_p.html,japan.kantei.go.jp,2013/5/9,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240816001740/https://japan.kantei.go.jp/tyoukanpress/201305/09_p.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201305/10_p.html,japan.kantei.go.jp,2013/5/10,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240816001713/https://japan.kantei.go.jp/tyoukanpress/201305/10_p.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201305/13_p.html,japan.kantei.go.jp,2013/5/13,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240816001745/https://japan.kantei.go.jp/tyoukanpress/201305/13_p.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201305/13_a.html,japan.kantei.go.jp,2013/5/13,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240816001746/https://japan.kantei.go.jp/tyoukanpress/201305/13_a.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201305/14_a.html,japan.kantei.go.jp,2013/5/14,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240816001656/https://japan.kantei.go.jp/tyoukanpress/201305/14_a.html,RECOVERABLE_WAYBACK
http://www.mofa.go.jp/policy/page3e_000119.html,www.mofa.go.jp,2013/5/15,Japan,The Points of Remarks by Prime Minister Shinzo Abe（Upper House Budget Committee）,SKIPPED_KNOWN_BLOCKED,False,,NOT_RECOVERABLE_YET
http://japan.kantei.go.jp/tyoukanpress/201305/17_p.html,japan.kantei.go.jp,2013/5/17,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240816001716/https://japan.kantei.go.jp/tyoukanpress/201305/17_p.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201305/22_p.html,japan.kantei.go.jp,2013/5/22,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20250517132000/https://japan.kantei.go.jp/tyoukanpress/201305/22_p.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/96_abe/statement/201305/23speech_e.html,japan.kantei.go.jp,2013/5/23,Japan,"Dinner Speech by H.E. Mr. Shinzo Abe, Prime Minister of Japan on the Occasion of the Nineteenth International Conference",HTTP_200,False,,LIVE_DIRECT
http://japan.kantei.go.jp/tyoukanpress/201305/27_a.html,japan.kantei.go.jp,2013/5/27,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240816001702/https://japan.kantei.go.jp/tyoukanpress/201305/27_a.html,RECOVERABLE_WAYBACK
http://japan.kantei.go.jp/tyoukanpress/201305/27_p.html,japan.kantei.go.jp,2013/5/27,Japan,Press Conference by the Chief Cabinet Secretary (Excerpt),HTTP_404,True,http://web.archive.org/web/20240816001645/https://japan.kantei.go.jp/tyoukanpress/201305/27_p.html,RECOVERABLE_WAYBACK
