url,date,country,reason_for_exclusion
https://japan.kantei.go.jp/100_kishida/statement/202110/_00002.html,"October 4, 2021",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/100_kishida/statement/202110/_00008.html,"October 8, 2021",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/100_kishida/statement/202110/_00009.html,"October 9, 2021",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/100_kishida/statement/202110/_00011.html,"October 14, 2021",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/100_kishida/statement/202110/_00014.html,"October 19, 2021",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/100_kishida/statement/202110/_00017.html,"October 27, 2021",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/100_kishida/statement/index.html,"November 4, 2021",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/98_abe/statement/201712/index.html,"December 25, 2017",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/98_abe/statement/201812/index.html,"December 1, 2018",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/98_abe/statement/201912/index.html,,japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/98_abe/statement/202009/index.html,"September 11, 2020",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/99_suga/statement/202012/index.html,"December 31, 2020",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/99_suga/statement/202110/index.html,"October 4, 2021",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/index.html,"September 4, 2026",japan,OUTSIDE_DATE_RANGE
https://japan.kantei.go.jp/info/index.html,,japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/,,japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0092.html,"October 8, 2021",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/100_kishida/statement/202111/_00004.html,"November 4, 2021",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0031.html,"July 5, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202111/_00002.html,"November 10, 2021",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202111/_00005.html,"November 29, 2021",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202112/index.html,"December 22, 2021",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202212/index.html,"December 19, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202409/index.html,"September 28, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202412/index.html,"December 30, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202510/index.html,"October 21, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202112/_00001.html,"December 2, 2021",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202112/_00003.html,"December 3, 2021",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202201/_00007.html,"January 17, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202201/_00011.html,"January 28, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0002.html,"June 24, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0003.html,"March 16, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0005.html,"January 27, 2023",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0095.html,"September 23, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00004.html,"February 16, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00006.html,"February 17, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00007.html,"February 18, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00010.html,"February 24, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00013.html,"February 25, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0027.html,"September 28, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0048.html,"February 17, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202203/_00015.html,"March 17, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202203/_00017.html,"March 12, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0021.html,"June 21, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0093.html,"March 22, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202204/_00006.html,"April 8, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202204/_00007.html,"April 9, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202204/_00009.html,"April 18, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202204/_00010.html,"April 26, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202205/_00008.html,"May 14, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202206/_00001.html,"June 1, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202206/_00004.html,"June 10, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202206/_00012.html,"June 28, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202207/_00006.html,"July 9, 2022",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202207/_00007.html,"July 14, 2022",japan,NOT_HISTORY_RELATED
