url,country,institution,discovered_via,discovered_date,archive_source,status
https://japan.kantei.go.jp/99_suga/statement/202012/index.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/100_kishida/statement/202110/index.html,DISCOVERED
https://japan.kantei.go.jp/99_suga/statement/202110/index.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/100_kishida/statement/202110/index.html,DISCOVERED
https://japan.kantei.go.jp/index.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/100_kishida/statement/202110/index.html,DISCOVERED
https://japan.kantei.go.jp/info/index.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/100_kishida/statement/202110/index.html,DISCOVERED
https://japan.kantei.go.jp/tag/,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/100_kishida/statement/202110/index.html,DISCOVERED
https://japan.kantei.go.jp/tag/0088.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/100_kishida/statement/202110/index.html,DISCOVERED
https://japan.kantei.go.jp/tag/0092.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/100_kishida/statement/202110/index.html,DISCOVERED
https://japan.kantei.go.jp/100_kishida/statement/202111/_00001.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/100_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/100_kishida/statement/202111/_00002.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/100_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/100_kishida/statement/202111/_00003.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/100_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/100_kishida/statement/202111/_00004.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/100_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/tag/0010.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/100_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/tag/0019.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/100_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/tag/0031.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/100_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202111/_00002.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202111/_00003.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202111/_00005.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202111/_00006.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202112/index.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202212/index.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202312/index.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202409/index.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/index.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/102_ishiba/statement/202411/index.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/103/statement/202412/index.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202111/index.html,DISCOVERED
https://japan.kantei.go.jp/103/statement/202510/index.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202111/index.html,DISCOVERED
